No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
192,GATUNDU SOUTH,744,226,3,12,0.2,44,0.6,114,1.5,6996,94,50,0.7
193,GITHUNGURI ,13963,244,1.7,29,0.2,24,0.2,267,1.9,13278,95.1,121,0.9
194,JUJA ,73652,970,1.3,434,0.6,410,0.6,5282,7.2,66403,90.2,153,0.2
195,KABETE ,42720,300,0.7,21,0,32,0.1,1251,2.9,40909,95.8,207,0.5
196,KIAMBAA ,55535,187,0.3,225,0.4,120,0.2,2942,5.3,51889,93.4,172,0.3
197,KIAMBU ,31003,631,2,94,0.3,154,0.5,2738,8.8,27309,88.1,77,0.2
198,KIKUYU ,36606,430,1.2,50,0.1,631,1.7,1243,3.4,33893,92.6,359,1
199,LARI ,12933,270,2.1,157,1.2,139,1.1,404,3.1,11571,89.5,392,3
200,LIMURU ,26637,339,1.3,54,0.2,239,0.9,2838,10.7,22856,85.8,311,1.2
201,RUIRU ,107423,1018,0.9,531,0.5,133,0.1,5318,5,100140,93.2,283,0.3
202,THIKA EAST,6743,167,2.5,5,0.1,45,0.7,626,9.3,5831,86.5,69,1
203,THIKA WEST,7688,1454,1.9,1938,2.5,483,0.6,4673,6.1,67826,88.2,506,0.7
204,TURKANA ,25351,1679,6.6,990,3.9,138,0.5,732,2.9,14258,56.2,7554,29.8
205,KIBISH ,48,21,43.8,3,6.3,- ,-,-,-,11,22.9,13,27.1
206,LOIMA ,255,24,9.4,1,0.4,4,1.6,3,1.2,189,74.1,34,13.3
207,TURKANA CENTRAL,9,688,7.3,419,4.4,57,0.6,249,2.6,7896,83.8,113,1.2
208,TURKANA EAST,473,88,18.6,3,0.6,1,0.2,10,2.1,365,77.2,6,1.3
209,TURKANA NORTH,481,91,18.9,15,3.1,4,0.8,48,10,228,47.4,95,19.8
210,TURKANA SOUTH,330,400,12.1,146,4.4,20,0.6,82,2.5,2595,78.6,57,1.7
216,TURKANA WEST,1137,367,3.2,403,3.5,52,0.5,340,3,2974,26.2,7236,63.6
217,WEST POKOT,141,681,4.8,479,3.4,157,1.1,451,3.2,12261,86.4,163,1.1
218,KIPKOMO ,2473,58,2.3,118,4.8,17,0.7,116,4.7,2139,86.5,25,1
219,POKOT CENTRAL,1,98,9.4,128,12.2,20,1.9,15,1.4,757,72.2,30,2.9
220,POKOT NORTH,107,144,13.3,50,4.6,11,1,16,1.5,819,75.9,39,3.6
221,POKOT SOUTH,105,24,2.3,17,1.6,2,0.2,25,2.4,982,92.7,9,0.8
222,WEST POKOT,853,357,4.2,166,1.9,107,1.3,279,3.3,7564,88.6,60,0.7
223,SAMBURU ,9543,388,4.1,250,2.6,51,0.5,258,2.7,8426,88.3,170,1.8
224,SAMBURU CENTRAL,6,330,4.9,228,3.4,50,0.7,212,3.2,5772,86.5,83,1.2
225,SAMBURU EAST,1949,38,1.9,17,0.9,- ,-,35,1.8,1787,91.7,72,3.7
226,SAMBURU NORTH,919,20,2.2,5,0.5,1,0.1,11,1.2,867,94.3,15,1.6
227,TRANS NZOIA,719,2152,3,913,1.3,2046,2.8,1982,2.8,64091,89,792,1.1
228,TRANS NZOIA WEST,,1257,5.5,420,1.8,496,2.2,555,2.4,19911,87.3,179,0.8
229,TRANS NZOIA EAST,,238,2.1,80,0.7,103,0.9,434,3.9,10066,90.6,191,1.7
230,KWANZA ,12703,179,1.4,145,1.1,249,2,269,2.1,11685,92,176,1.4
231,ENDEBESS ,5921,259,4.4,67,1.1,1083,18.3,403,6.8,4066,68.7,43,0.7
232,KIMININI ,19422,219,1.1,201,1,115,0.6,321,1.7,18363,94.5,203,1
233,UASIN GISHU,147,3226,2.2,2095,1.4,1946,1.3,6286,4.2,133360,90.1,1038,0.7
234,AINABKOI ,16218,539,3.3,228,1.4,112,0.7,816,5,14303,88.2,220,1.4
235,KAPSERET ,40966,463,1.1,481,1.2,380,0.9,1823,4.5,37584,91.7,235,0.6
236,KESSES ,10104,273,2.7,89,0.9,66,0.7,184,1.8,9405,93.1,87,0.9
237,MOIBEN ,22214,333,1.5,100,0.5,130,0.6,927,4.2,20593,92.7,131,0.6
238,SOY ,17758,610,3.4,396,2.2,716,4,453,2.6,15459,87.1,124,0.7
239,TURBO ,40691,1008,2.5,801,2,542,1.3,2083,5.1,36016,88.5,241,0.6
240,ELGEYO/MARAKWET ,17868,716,4,151,0.8,119,0.7,549,3.1,16129,90.3,204,1.1
241,KEIYO NORTH,514,287,5.6,37,0.7,57,1.1,204,4,4527,88,34,0.7
242,KEIYO SOUTH,375,225,6,40,1.1,36,1,201,5.4,3195,85.2,53,1.4
